filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	decade
b14ef71d0c0ae1d2d97070b9f5e12f41.jpg	167	132	49.9394	134	74.6534	104	41.7664	1960
b23e60547c4104a492b1bc1aba5acddb.jpg	168	158	89.643	28	53.1869	40	10.8437	1960
b34874d622319fa15b8a254fcd37f620.jpg	169	133	30.8038	75	29.8907	88	42.3799	1960
b4b584d93fd0103b3b137f78eb319003.jpg	170	153	65.1841	144	66.7583	33	14.7905	1960
b577b51fb6e2ea1e14208796ff979a15.jpg	171	176	75.2876	68	67.6313	47	55.4549	1960
b5b77d7ab1d0aa719f9183a0a40f21cb.jpg	172	86	95.8829	116	72.7974	55	41.0284	1960
b9a2254131cc485e2245d2918b88b60f.jpg	173	210	61.1047	36	31.7932	24	84.2292	1960
ba3371850c3dcdfd207b78fa295ca46e.jpg	174	242	58.3453	195	89.4609	19	26.0384	1960
ba5e79bb7a118c5166241eb31bbc88b5.jpg	175	141	64.5422	53	27.0772	150	70.6352	1960
bb2855fb301eca45c4e7f96792a2ff3e.jpg	176	198	55.7799	81	63.1087	26	43.1339	1960
bcca735febc0c90e30927fa1f946a564.jpg	177	228	87.2999	64	59.229	17	68.9945	1960
be1d93311ecd1ecea913c4b88cc70b46.jpg	178	158	85.8001	44	60.0202	123	84.4381	1960
c10633a00f976bd1ad51a907bb10aba0.jpg	179	172	71.6848	40	76.5406	46	54.9424	1960
c28e992534cdf367386b7e76bc0394b3.jpg	180	111	73.456	28	32.8104	29	91.8585	1960
c3ca59e5c1acddeaf31938e5c861dfc5.jpg	181	14	101.8319	44	91.2242	59	31.6232	1960
c4d7e40f269de0690d5b6c6c78662c67.jpg	182	231	54.7866	38	69.4481	25	34.251	1960
c5cb50a1faed3945b4f128e45afdbbdd.jpg	183	85	65.0778	142	72.6212	140	67.8024	1960
c5fc3ba9a0b60fcd9757d9525098a0ff.jpg	184	135	81.2764	198	83.9619	19	27.7247	1960
c620bffef4058fe7abdaf8c09bd2438e.jpg	185	180	72.0392	96	88.8704	33	44.755	1960
